x, y, width, height, transcription
[14, 38, 35, 14], [695, 695, 129, 129], -1, -1, REPÚBLICA FEDERATIVA DO BRASIL
[42, 60, 57, 36], [558, 557, 208, 208], -1, -1, MINISTÉRIO DAS CIDADES
[64, 81, 78, 56], [657, 657, 106, 106], -1, -1, DEPARTAMENTO NACIONAL DE TRÂNSITO
[86, 105, 103, 81], [655, 654, 115, 115], -1, -1, CARTEIRA NACIONAL DE HABILITAÇÃO
122, 651, 13, 45, NOME
130, 476, 16, 230, MATHEUS HEDERSON FEDATO
169, 175, 14, 230, DOC. IDENTIDADE/ÓRG EMISSOR UF
187, 326, 11, 85, 304896822
187, 199, 10, 27, SES
187, 87, 10, 17, PE
225, 377, 14, 29, CPF
241, 267, 13, 152, 868.083.822-55
223, 73, 13, 119, DATA NASCIMENTO
240, 109, 12, 95, 23/06/2001
275, 341, 17, 60, FILIAÇÃO
295, 224, 10, 188, SUGUIUTI BROLIO KON
321, 351, 9, 62, MOREIRA
341, 171, 10, 240, MANUELA NARNATONIS DELZO
416, 334, 13, 73, PERMISSÃO
415, 183, 14, 32, ACC
413, 68, 16, 58, CAT. HAB.
434, 93, 10, 18, AB
479, 614, 15, 84, Nº REGISTRO
497, 546, 13, 118, 25897838599
480, 364, 15, 62, VALIDADE
495, 315, 14, 107, 22/09/1967
476, 145, 17, 100, 1ª HABILITAÇÃO
490, 124, 20, 106, 28/01/1978
337, 745, 191, 24, 628852082
306, 788, 214, 21, O TERRITÓRIO NACIONAL
342, 809, 148, 17, VÁLIDA EM TODO
555, 600, 19, 95, OBSERVAÇÕES
831, 376, 16, 167, ASSINATURA DO PORTADOR
871, 732, 201, 31, 083485033
859, 798, 205, 19, PROIBIDO PLASTIFICAR
867, 641, 15, 45, LOCAL
887, 473, 13, 228, SÃO JOSÉ DO JACURI-MG
864, 126, 16, 92, DATA EMISSÃO
883, 94, 15, 116, 24/08/1954
928, 306, 10, 138, TASSIANE KENVY 
934, 98, 13, 116, 62170965451
957, 85, 13, 129, PE285620015
974, 379, 13, 158, ASSINATURA DO EMISSOR
1001, 133, 30, 461, ASSINATURA DO EMISSOR
